Date,Stock name,Open,High,Low,Close*,Adj Close**,Volume,average volume per stock,Higher or lower then average volume,Volume avg,higher closing,higher closing 0 or 1,volatility,Volitity (1 or 0),mv50,Higher MV50,Higher than MVA50,MV100,Higher MVA100,Higher than MVA100,EMA 50,Higher then EMVA,Higher than EMVA 1
43787.00,CokeCola,274.96,277.33,271.51,272.75,271.37,35300.00,46253.14,No,0,No,0,No,0,285.84,No,0,304.72,No,0,285.81,Yes,1
43788.00,CokeCola,273.05,276.58,272.66,273.05,271.66,28400.00,46253.14,No,0,No,0,No,0,285.51,No,0,304.43,No,0,285.31,Yes,1
43789.00,CokeCola,273.13,277.00,268.10,270.91,269.54,43200.00,46253.14,No,0,No,0,No,0,285.04,No,0,304.15,No,0,284.75,Yes,1
43790.00,CokeCola,271.08,284.97,270.00,284.24,282.80,70300.00,46253.14,Yes,1,Yes,1,No,0,284.72,No,0,303.88,No,0,284.73,Yes,1
43791.00,CokeCola,284.86,284.95,271.78,271.78,270.40,55500.00,46253.14,Yes,1,No,0,No,0,284.34,No,0,303.47,No,0,284.22,Yes,1
43794.00,CokeCola,271.28,275.96,271.28,271.91,270.53,43300.00,46253.14,No,0,Yes,1,No,0,284.03,No,0,303.04,No,0,283.74,Yes,1
43795.00,CokeCola,273.78,276.13,271.91,273.54,272.15,30200.00,46253.14,No,0,No,0,No,0,283.78,No,0,302.59,No,0,283.34,Yes,1
43796.00,CokeCola,273.90,275.45,272.05,274.96,273.57,18200.00,46253.14,No,0,Yes,1,No,0,283.32,No,0,302.24,No,0,283.01,Yes,1
43798.00,CokeCola,275.02,275.02,270.04,270.16,268.79,11100.00,46253.14,No,0,No,0,No,0,282.70,No,0,301.85,No,0,282.51,Yes,1
43801.00,CokeCola,270.00,271.00,262.90,269.64,268.27,44300.00,46253.14,No,0,No,0,No,0,282.21,No,0,301.43,No,0,282.00,Yes,1
43802.00,CokeCola,268.84,271.80,268.48,270.03,268.66,28800.00,46253.14,No,0,Yes,1,No,0,281.71,No,0,301.07,No,0,281.53,Yes,1
43803.00,CokeCola,270.71,276.70,270.71,276.07,274.67,28100.00,46253.14,No,0,Yes,1,No,0,281.32,No,0,300.78,No,0,281.32,Yes,1
43804.00,CokeCola,276.18,278.00,271.77,273.91,272.52,30300.00,46253.14,No,0,No,0,No,0,280.86,No,0,300.48,No,0,281.03,Yes,1
43805.00,CokeCola,276.69,279.35,272.44,278.46,277.05,32300.00,46253.14,No,0,Yes,1,No,0,280.43,No,0,300.23,No,0,280.93,Yes,1
43808.00,CokeCola,275.67,281.93,273.49,274.30,272.91,27700.00,46253.14,No,0,No,0,No,0,279.90,No,0,299.97,No,0,280.67,Yes,1
43809.00,CokeCola,273.84,277.61,272.95,277.61,276.20,27400.00,46253.14,No,0,Yes,1,No,0,279.37,No,0,299.78,No,0,280.55,Yes,1
43810.00,CokeCola,278.43,279.84,273.00,273.86,272.47,33800.00,46253.14,No,0,No,0,No,0,278.80,No,0,299.60,No,0,280.28,Yes,1
43811.00,CokeCola,273.36,277.82,271.85,273.06,271.67,43800.00,46253.14,No,0,No,0,No,0,278.40,No,0,299.41,No,0,280.00,Yes,1
43812.00,CokeCola,272.52,278.51,272.02,277.02,275.61,26400.00,46253.14,No,0,Yes,1,No,0,278.07,No,0,299.28,No,0,279.88,Yes,1
43815.00,CokeCola,277.04,280.72,273.47,275.50,274.10,36000.00,46253.14,No,0,No,0,No,0,277.44,No,0,299.13,No,0,279.71,Yes,1
43816.00,CokeCola,276.90,279.50,274.76,278.10,276.69,25200.00,46253.14,No,0,Yes,1,No,0,276.96,Yes,1,299.01,No,0,279.65,Yes,1
43817.00,CokeCola,278.18,279.17,273.88,274.57,273.18,26100.00,46253.14,No,0,No,0,No,0,276.55,No,0,298.83,No,0,279.45,Yes,1
43818.00,CokeCola,274.39,275.50,272.75,272.84,271.46,42800.00,46253.14,No,0,No,0,No,0,276.11,No,0,298.63,No,0,279.19,Yes,1
43819.00,CokeCola,274.22,284.77,274.20,282.65,281.22,190100.00,46253.14,Yes,1,Yes,1,No,0,275.89,Yes,1,298.51,No,0,279.33,No,0
43822.00,CokeCola,282.94,285.99,278.95,284.80,283.36,31800.00,46253.14,No,0,Yes,1,No,0,275.74,Yes,1,298.43,No,0,279.54,No,0
43823.00,CokeCola,284.56,288.02,282.00,286.44,284.99,23900.00,46253.14,No,0,Yes,1,No,0,275.65,Yes,1,298.41,No,0,279.81,No,0
43825.00,CokeCola,286.45,295.00,286.45,292.64,291.16,90500.00,46253.14,Yes,1,Yes,1,No,0,275.74,Yes,1,298.41,No,0,280.31,No,0
43826.00,CokeCola,293.15,295.56,291.30,293.65,292.16,34600.00,46253.14,No,0,Yes,1,No,0,275.79,Yes,1,298.54,No,0,280.84,No,0
43829.00,CokeCola,293.18,293.18,285.02,289.00,287.53,35600.00,46253.14,No,0,No,0,No,0,275.74,Yes,1,298.50,No,0,281.16,No,0
43830.00,CokeCola,288.58,290.75,283.13,284.05,282.61,41900.00,46253.14,No,0,No,0,No,0,275.67,Yes,1,298.09,No,0,281.27,No,0
43832.00,CokeCola,285.74,286.29,277.33,282.40,280.97,42300.00,46253.14,No,0,No,0,No,0,275.51,Yes,1,297.55,No,0,281.32,No,0
