Date,Stock name,Open,High,Low,Close*,Adj Close**,Volume,volatility
4/8/2021,S&P 500,"4,089.95","4,098.19","4,082.54","4,097.17","4,097.17","3,901,910,000",No
4/7/2021,S&P 500,"4,074.29","4,083.13","4,068.31","4,079.95","4,079.95","4,112,640,000",No
4/6/2021,S&P 500,"4,075.57","4,086.23","4,068.14","4,073.94","4,073.94","4,027,880,000",No
4/5/2021,S&P 500,"4,034.44","4,083.42","4,034.44","4,077.91","4,077.91","3,999,760,000",No
4/1/2021,S&P 500,"3,992.78","4,020.63","3,992.78","4,019.87","4,019.87","4,151,240,000",No
3/31/2021,S&P 500,"3,967.25","3,994.41","3,966.98","3,972.89","3,972.89","4,564,980,000",No
3/30/2021,S&P 500,"3,963.34","3,968.01","3,944.35","3,958.55","3,958.55","4,103,570,000",No
3/29/2021,S&P 500,"3,969.31","3,981.83","3,943.25","3,971.09","3,971.09","4,619,840,000",No
3/26/2021,S&P 500,"3,917.12","3,978.19","3,917.12","3,974.54","3,974.54","5,467,850,000",No
3/25/2021,S&P 500,"3,879.34","3,919.54","3,853.50","3,909.52","3,909.52","4,940,800,000",No
3/24/2021,S&P 500,"3,919.93","3,942.08","3,889.07","3,889.14","3,889.14","4,766,990,000",No
3/23/2021,S&P 500,"3,937.60","3,949.13","3,901.57","3,910.52","3,910.52","4,645,340,000",No
3/22/2021,S&P 500,"3,916.48","3,955.31","3,914.16","3,940.59","3,940.59","4,311,380,000",No
3/19/2021,S&P 500,"3,913.14","3,930.12","3,886.75","3,913.10","3,913.10","7,725,050,000",No
3/18/2021,S&P 500,"3,953.50","3,969.62","3,910.86","3,915.46","3,915.46","4,043,170,000",No
3/17/2021,S&P 500,"3,949.57","3,983.87","3,935.74","3,974.12","3,974.12","4,541,620,000",No
3/16/2021,S&P 500,"3,973.59","3,981.04","3,953.44","3,962.71","3,962.71","4,604,870,000",No
3/15/2021,S&P 500,"3,942.96","3,970.08","3,923.54","3,968.94","3,968.94","4,882,190,000",No
3/12/2021,S&P 500,"3,924.52","3,944.99","3,915.21","3,943.34","3,943.34","4,469,240,000",No
3/11/2021,S&P 500,"3,915.54","3,960.27","3,915.54","3,939.34","3,939.34","5,300,010,000",No
3/10/2021,S&P 500,"3,891.99","3,917.35","3,885.73","3,898.81","3,898.81","5,827,250,000",No
3/9/2021,S&P 500,"3,851.93","3,903.76","3,851.93","3,875.44","3,875.44","5,496,340,000",No
3/8/2021,S&P 500,"3,844.39","3,881.06","3,819.25","3,821.35","3,821.35","5,852,240,000",No
3/5/2021,S&P 500,"3,793.58","3,851.69","3,730.19","3,841.94","3,841.94","6,842,570,000",No
3/4/2021,S&P 500,"3,818.53","3,843.67","3,723.34","3,768.47","3,768.47","7,142,240,000",No
3/3/2021,S&P 500,"3,863.99","3,874.47","3,818.86","3,819.72","3,819.72","6,150,790,000",No
3/2/2021,S&P 500,"3,903.64","3,906.41","3,868.57","3,870.29","3,870.29","5,493,690,000",No
3/1/2021,S&P 500,"3,842.51","3,914.50","3,842.51","3,901.82","3,901.82","5,071,540,000",No
